repo_name,repo_url
mdns,https://github.com/hashicorp/mdns
memberlist,https://github.com/hashicorp/memberlist
micron-vault-workshop,https://github.com/hashicorp/micron-vault-workshop
microservices-architecture-on-aws,https://github.com/hashicorp/microservices-architecture-on-aws
microservices-architecture-on-aws-consul,https://github.com/hashicorp/microservices-architecture-on-aws-consul
microservices-architecture-on-aws-sentinel,https://github.com/hashicorp/microservices-architecture-on-aws-sentinel
microsoft-ignite-2021-hcs-demo,https://github.com/hashicorp/microsoft-ignite-2021-hcs-demo
microsoft-oss-conference,https://github.com/hashicorp/microsoft-oss-conference
microsoft-smi-webinar,https://github.com/hashicorp/microsoft-smi-webinar
mktg-webdev-challenge,https://github.com/hashicorp/mktg-webdev-challenge
mog,https://github.com/hashicorp/mog
mql,https://github.com/hashicorp/mql
multi-cloud-k8-demo,https://github.com/hashicorp/multi-cloud-k8-demo
multiple-envs,https://github.com/hashicorp/multiple-envs
net-rpc-msgpackrpc,https://github.com/hashicorp/net-rpc-msgpackrpc
netlify-to-nextjs-redirect-exporter,https://github.com/hashicorp/netlify-to-nextjs-redirect-exporter
next-mdx-remote,https://github.com/hashicorp/next-mdx-remote
next-optimized-images,https://github.com/hashicorp/next-optimized-images
next-remote-watch,https://github.com/hashicorp/next-remote-watch
nextjs-bundle-analysis,https://github.com/hashicorp/nextjs-bundle-analysis
ngx_http_consul_backend_module,https://github.com/hashicorp/ngx_http_consul_backend_module
nodeenrollment,https://github.com/hashicorp/nodeenrollment
nomad,https://github.com/hashicorp/nomad
nomad-autoscaler,https://github.com/hashicorp/nomad-autoscaler
nomad-autoscaler-demos,https://github.com/hashicorp/nomad-autoscaler-demos
nomad-cheatsheet,https://github.com/hashicorp/nomad-cheatsheet
nomad-connect-examples,https://github.com/hashicorp/nomad-connect-examples
nomad-device-nvidia,https://github.com/hashicorp/nomad-device-nvidia
nomad-driver-exec2,https://github.com/hashicorp/nomad-driver-exec2
nomad-driver-podman,https://github.com/hashicorp/nomad-driver-podman
nomad-driver-virt,https://github.com/hashicorp/nomad-driver-virt
nomad-education-content,https://github.com/hashicorp/nomad-education-content
nomad-guides,https://github.com/hashicorp/nomad-guides
nomad-open-telemetry-getting-started,https://github.com/hashicorp/nomad-open-telemetry-getting-started
nomad-pack,https://github.com/hashicorp/nomad-pack
nomad-pack-community-registry,https://github.com/hashicorp/nomad-pack-community-registry
nomad-skeleton-device-plugin,https://github.com/hashicorp/nomad-skeleton-device-plugin
nomad-skeleton-driver-plugin,https://github.com/hashicorp/nomad-skeleton-driver-plugin
observability-as-code,https://github.com/hashicorp/observability-as-code
packer,https://github.com/hashicorp/packer
packer-plugin-alicloud,https://github.com/hashicorp/packer-plugin-alicloud
packer-plugin-amazon,https://github.com/hashicorp/packer-plugin-amazon
packer-plugin-ansible,https://github.com/hashicorp/packer-plugin-ansible
packer-plugin-azure,https://github.com/hashicorp/packer-plugin-azure
packer-plugin-cloudstack,https://github.com/hashicorp/packer-plugin-cloudstack
packer-plugin-docker,https://github.com/hashicorp/packer-plugin-docker
packer-plugin-googlecompute,https://github.com/hashicorp/packer-plugin-googlecompute
